year,doi,title,authors,number.authors,citations,source.pages.count
1998,10.1118/1.598259,A double mirror W/C multilayer monochromator for radiation biology applications,"MacKay, JF ; Pearson, DW ; Nelms, BE ; DeLuca, PM ; Gould, MN ; Lagally, MG",6,12,7
1998,10.1118/1.598260,Effective dose in diagnostic radiology as a function of x-ray beam filtration for a constant exit dose and constant film density,"Behrman, RH ; Yasuda, G",2,19,11
1998,10.1118/1.598282,Preliminary study of a metal/a-Se-based portal detector,"Falco, T ; Wang, H ; Fallone, BG",3,15,10
1998,10.1118/1.598292,A simple algorithm for planar image registration in radiation therapy,"Cai, JL ; Chu, JCH ; Saxena, VA ; Lanzl, LH",4,15,6
1998,10.1118/1.598293,Portal dose image (PDI) prediction for dosimetric treatment verification in radiotherapy. I. An algorithm for open beams,"Pasma, KL ; Heijmen, BJM ; Kroonwijk, M ; Visser, AG",4,82,11
1998,10.1118/1.598294,A pencil-beam photon dose algorithm for stereotactic radiosurgery using a miniature multileaf collimator,"Dong, L ; Shiu, AM ; Tung, S ; Hogstrom, K",4,17,10
1998,10.1118/1.598295,Multiple scattering theory for total skin electron beam design,"Antolak, JA ; Hogstrom, KR",2,14,9
1998,10.1118/1.598261,Photon beam skin dose analyses for different clinical setups,"Kim, S ; Liu, CR ; Zhu, TC ; Palta, JR",4,53,7
1998,10.1118/1.598262,A patient-specific Monte Carlo dose-calculation method for photon beams,"Wang, L ; Chui, CS ; Lovelock, M",3,94,12
1998,10.1118/1.598263,Beam profiles for x-ray rotation therapy,"Cormack, RA",1,8,6
1998,10.1118/1.598264,Combined use of FLUKA and MCNP-4A for the Monte Carlo simulation of the dosimetry of <SUP>10</SUP>B neutron capture enhancement of fast neutron irradiations,"Pignol, JP ; Cuendet, P ; Brassart, N ; Fares, G ; Colomb, F ; Diop, CM ; Sabattier, R ; Hachem, A ; Prevot, G",9,19,7
1998,10.1118/1.598268,Liquid ionization chambers for absorbed dose measurements in water at low dose rates and intermediate photon energies,"Wickman, G ; Johansson, B ; Bahar-Gogani, J ; Holmstrom, T ; Grindborg, JE",5,27,8
1998,10.1118/1.598269,Determination of saturation charge and collection efficiency for ionization chambers in continuous beams,"Zankowski, C ; Podgorsak, EB",2,36,8
